ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
128017309,0,2026-02-24 20:23:19,1771964599285,2,0,0,0,0,0.0,0.0,0.0,0.0,1000000.0,0.0,,First deposit,
129876367,3138419364,2026-03-06 17:47:30,1772819250294,0,0,0,3138419364,3,1.0,6758.75,-4.0,0.0,0.0,0.0,ES_H,,50519501
129876368,3138419365,2026-03-06 17:47:30,1772819250394,0,0,0,3138419365,3,1.0,6758.75,-4.0,0.0,0.0,0.0,ES_H,,50519502
129876369,3138419366,2026-03-06 17:47:30,1772819250486,0,0,0,3138419366,3,1.0,6758.75,-4.0,0.0,0.0,0.0,ES_H,,50519503
129876370,3138419367,2026-03-06 17:47:30,1772819250577,0,0,0,3138419367,3,1.0,6758.75,-4.0,0.0,0.0,0.0,ES_H,,50519505
129876371,3138419368,2026-03-06 17:47:30,1772819250653,0,0,0,3138419368,3,1.0,6758.75,-4.0,0.0,0.0,0.0,ES_H,,50519506
129942225,3138505190,2026-03-09 01:00:05,1773018005366,0,0,0,3138505190,3,1.0,6690.0,-4.0,0.0,0.0,0.0,ES_H,,50582561
131167821,3140191667,2026-03-16 01:00:05,1773622805237,1,1,0,3138419364,3,1.0,6616.25,-4.0,0.0,-7125.0,0.0,ES_H,,51821959
131167830,3140191678,2026-03-16 01:00:05,1773622805286,1,1,0,3138419365,3,1.0,6616.25,-4.0,0.0,-7125.0,0.0,ES_H,,51821964
131167832,3140191689,2026-03-16 01:00:05,1773622805324,1,1,0,3138419366,3,1.0,6616.25,-4.0,0.0,-7125.0,0.0,ES_H,,51821967
131167837,3140191696,2026-03-16 01:00:05,1773622805353,1,1,0,3138419367,3,1.0,6616.25,-4.0,0.0,-7125.0,0.0,ES_H,,51821971
131167839,3140191698,2026-03-16 01:00:05,1773622805384,1,1,0,3138419368,3,1.0,6616.25,-4.0,0.0,-7125.0,0.0,ES_H,,51821972
131167841,3140191702,2026-03-16 01:00:05,1773622805412,1,1,0,3138505190,3,1.0,6616.25,-4.0,0.0,-3687.5,0.0,ES_H,,51821975
131167845,3140191705,2026-03-16 01:00:05,1773622805449,0,0,0,3140191705,3,1.0,6667.5,-4.0,0.0,0.0,0.0,ES_M,,51821977
131167848,3140191711,2026-03-16 01:00:05,1773622805500,0,0,0,3140191711,3,1.0,6667.5,-4.0,0.0,0.0,0.0,ES_M,,51821979
131167849,3140191715,2026-03-16 01:00:05,1773622805530,0,0,0,3140191715,3,1.0,6667.5,-4.0,0.0,0.0,0.0,ES_M,,51821981
131167851,3140191716,2026-03-16 01:00:05,1773622805565,0,0,0,3140191716,3,1.0,6667.5,-4.0,0.0,0.0,0.0,ES_M,,51821982
131167852,3140191718,2026-03-16 01:00:05,1773622805597,0,0,0,3140191718,3,1.0,6667.5,-4.0,0.0,0.0,0.0,ES_M,,51821984
131167854,3140191719,2026-03-16 01:00:05,1773622805623,0,0,0,3140191719,3,1.0,6667.5,-4.0,0.0,0.0,0.0,ES_M,,51821985
131818571,3141065610,2026-03-19 01:00:07,1773882007332,1,1,0,3140191705,3,1.0,6671.5,-4.0,0.0,200.0,0.0,ES_M,,52495974
133280894,3143062192,2026-03-27 01:00:08,1774573208569,1,1,0,3140191711,3,1.0,6540.25,-4.0,0.0,-6362.5,0.0,ES_M,,54010882
134778254,3145188463,2026-04-07 19:05:51,1775588751971,1,1,0,3140191715,3,1.0,6615.5,-4.0,0.0,-2600.0,0.0,ES_M,,55620159
134778255,3145188464,2026-04-07 19:05:52,1775588752026,1,1,0,3140191716,3,1.0,6615.5,-4.0,0.0,-2600.0,0.0,ES_M,,55620160
134778289,3145188521,2026-04-07 19:06:06,1775588766039,0,0,0,3145188521,3,1.0,2545.0,-4.0,0.0,0.0,0.0,RTY_M,,55620194
